brand,model,capacity,condition,used_price,stock,carrier,color,source,url
Apple,iPhone 5S,32GB,New,$749.00,OutOfStock,AT&T,Silver,glyde,https://glyde.com/buy/used-Apple-iPhone-5S-32GB-Silver-ATT/12076261
Apple,iPhone 5S,32GB,Refurbished,$299.75,OutOfStock,AT&T,Silver,glyde,https://glyde.com/buy/used-Apple-iPhone-5S-32GB-Silver-ATT/12076261
Apple,iPhone 5S,32GB,Good,$252.00,OutOfStock,AT&T,Silver,glyde,https://glyde.com/buy/used-Apple-iPhone-5S-32GB-Silver-ATT/12076261
Apple,iPhone 5S,32GB,Acceptable,$214.00,OutOfStock,AT&T,Silver,glyde,https://glyde.com/buy/used-Apple-iPhone-5S-32GB-Silver-ATT/12076261
Apple,iPhone 5S,32GB,VeryGood,$279.00,OutOfStock,AT&T,Silver,glyde,https://glyde.com/buy/used-Apple-iPhone-5S-32GB-Silver-ATT/12076261
Samsung,Galaxy S III,16GB,New,$549.99,OutOfStock,T-Mobile,Blue,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S-III-16GB-Blue-TMobile/12065387
Samsung,Galaxy S III,16GB,Refurbished,$178.75,OutOfStock,T-Mobile,Blue,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S-III-16GB-Blue-TMobile/12065387
Samsung,Galaxy S III,16GB,Good,$114.75,OutOfStock,T-Mobile,Blue,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S-III-16GB-Blue-TMobile/12065387
Samsung,Galaxy S III,16GB,Acceptable,$109.00,OutOfStock,T-Mobile,Blue,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S-III-16GB-Blue-TMobile/12065387
Samsung,Galaxy S III,16GB,VeryGood,$115.00,OutOfStock,T-Mobile,Blue,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S-III-16GB-Blue-TMobile/12065387
Apple,iPhone 3GS,16GB,New,$599.00,OutOfStock,AT&T,Black,glyde,https://glyde.com/buy/used-Apple-iPhone-3GS-16GB-Black-ATT/12048054
Apple,iPhone 3GS,16GB,Refurbished,$33.75,OutOfStock,AT&T,Black,glyde,https://glyde.com/buy/used-Apple-iPhone-3GS-16GB-Black-ATT/12048054
Apple,iPhone 3GS,16GB,Good,$22.00,OutOfStock,AT&T,Black,glyde,https://glyde.com/buy/used-Apple-iPhone-3GS-16GB-Black-ATT/12048054
Apple,iPhone 3GS,16GB,Acceptable,$18.00,OutOfStock,AT&T,Black,glyde,https://glyde.com/buy/used-Apple-iPhone-3GS-16GB-Black-ATT/12048054
Apple,iPhone 3GS,16GB,VeryGood,$24.00,OutOfStock,AT&T,Black,glyde,https://glyde.com/buy/used-Apple-iPhone-3GS-16GB-Black-ATT/12048054
BlackBerry,Pearl - 8100,,New,$99.99,OutOfStock,Verizon,Red,glyde,https://glyde.com/buy/used-BlackBerry-Pearl-8100-Red-Verizon/12068993
BlackBerry,Pearl - 8100,,Refurbished,$67.50,OutOfStock,Verizon,Red,glyde,https://glyde.com/buy/used-BlackBerry-Pearl-8100-Red-Verizon/12068993
BlackBerry,Pearl - 8100,,Good,$26.00,OutOfStock,Verizon,Red,glyde,https://glyde.com/buy/used-BlackBerry-Pearl-8100-Red-Verizon/12068993
BlackBerry,Pearl - 8100,,Acceptable,$20.00,OutOfStock,Verizon,Red,glyde,https://glyde.com/buy/used-BlackBerry-Pearl-8100-Red-Verizon/12068993
BlackBerry,Pearl - 8100,,VeryGood,$32.25,OutOfStock,Verizon,Red,glyde,https://glyde.com/buy/used-BlackBerry-Pearl-8100-Red-Verizon/12068993
BlackBerry,Pearl - 8100,,New,$99.99,OutOfStock,AT&T,Red,glyde,https://glyde.com/buy/used-BlackBerry-Pearl-8100-Red-ATT/12068992
BlackBerry,Pearl - 8100,,Refurbished,$67.50,OutOfStock,AT&T,Red,glyde,https://glyde.com/buy/used-BlackBerry-Pearl-8100-Red-ATT/12068992
BlackBerry,Pearl - 8100,,Good,$26.00,OutOfStock,AT&T,Red,glyde,https://glyde.com/buy/used-BlackBerry-Pearl-8100-Red-ATT/12068992
BlackBerry,Pearl - 8100,,Acceptable,$20.00,OutOfStock,AT&T,Red,glyde,https://glyde.com/buy/used-BlackBerry-Pearl-8100-Red-ATT/12068992
BlackBerry,Pearl - 8100,,VeryGood,$32.25,OutOfStock,AT&T,Red,glyde,https://glyde.com/buy/used-BlackBerry-Pearl-8100-Red-ATT/12068992
BlackBerry,Pearl - 8100,,New,$99.99,OutOfStock,Verizon,Black,glyde,https://glyde.com/buy/used-BlackBerry-Pearl-8100-Black-Verizon/12068991
BlackBerry,Pearl - 8100,,Refurbished,$67.50,OutOfStock,Verizon,Black,glyde,https://glyde.com/buy/used-BlackBerry-Pearl-8100-Black-Verizon/12068991
BlackBerry,Pearl - 8100,,Good,$26.00,OutOfStock,Verizon,Black,glyde,https://glyde.com/buy/used-BlackBerry-Pearl-8100-Black-Verizon/12068991
BlackBerry,Pearl - 8100,,Acceptable,$20.00,OutOfStock,Verizon,Black,glyde,https://glyde.com/buy/used-BlackBerry-Pearl-8100-Black-Verizon/12068991
BlackBerry,Pearl - 8100,,VeryGood,$32.25,OutOfStock,Verizon,Black,glyde,https://glyde.com/buy/used-BlackBerry-Pearl-8100-Black-Verizon/12068991
BlackBerry,Pearl - 8100,,New,$99.99,OutOfStock,AT&T,Black,glyde,https://glyde.com/buy/used-BlackBerry-Pearl-8100-Black-ATT/12068990
BlackBerry,Pearl - 8100,,Refurbished,$67.50,OutOfStock,AT&T,Black,glyde,https://glyde.com/buy/used-BlackBerry-Pearl-8100-Black-ATT/12068990
BlackBerry,Pearl - 8100,,Good,$26.00,OutOfStock,AT&T,Black,glyde,https://glyde.com/buy/used-BlackBerry-Pearl-8100-Black-ATT/12068990
BlackBerry,Pearl - 8100,,Acceptable,$20.00,OutOfStock,AT&T,Black,glyde,https://glyde.com/buy/used-BlackBerry-Pearl-8100-Black-ATT/12068990
BlackBerry,Pearl - 8100,,VeryGood,$32.25,OutOfStock,AT&T,Black,glyde,https://glyde.com/buy/used-BlackBerry-Pearl-8100-Black-ATT/12068990
Samsung,Galaxy S6 edge,128GB,VeryGood,$824,,T-Mobile,Gold,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-edge-128GB-Gold-TMobile/12078479
Samsung,Galaxy S6 edge,128GB,VeryGood,$835,,AT&T,Gold,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-edge-128GB-Gold-ATT/12078478
Samsung,Galaxy S6 edge,64GB,VeryGood,$711,,Sprint,White,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-edge-64GB-White-Sprint/12078467
Samsung,Galaxy S6 edge,64GB,VeryGood,$622,,Verizon,White,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-edge-64GB-White-Verizon/12078466
Samsung,Galaxy S6,128GB,VeryGood,$724,,AT&T,Black,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-128GB-Black-ATT/12078437
Samsung,Galaxy S6,64GB,VeryGood,$668,,T-Mobile,Black,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-64GB-Black-TMobile/12078426
Samsung,Galaxy S6 edge,64GB,Good,$599,,AT&T,Gold,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-edge-64GB-Gold-ATT/12078468
Samsung,Galaxy S6 edge,64GB,VeryGood,$737,,AT&T,Gold,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-edge-64GB-Gold-ATT/12078468
Samsung,Galaxy S6 edge,64GB,VeryGood,$689,,AT&T,White,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-edge-64GB-White-ATT/12078464
Samsung,Galaxy S6 edge,32GB,VeryGood,$632,,Sprint,White,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-edge-32GB-White-Sprint/12078455
Samsung,Galaxy S6,64GB,VeryGood,$566,,Verizon,Black,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-64GB-Black-Verizon/12078427
Samsung,Galaxy S6 edge,128GB,VeryGood,$718,,T-Mobile,White,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-edge-128GB-White-TMobile/12078476
Samsung,Galaxy S6 edge,32GB,VeryGood,$670,,AT&T,Gold,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-edge-32GB-Gold-ATT/12078456
Samsung,Galaxy S6 edge,128GB,VeryGood,$770,,AT&T,Black,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-edge-128GB-Black-ATT/12078472
Samsung,Galaxy S6 edge,128GB,VeryGood,$740,,Verizon,Gold,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-edge-128GB-Gold-Verizon/12078480
Samsung,Galaxy S6 edge,64GB,VeryGood,$741,,AT&T,Black,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-edge-64GB-Black-ATT/12078460
Samsung,Galaxy S6,32GB,VeryGood,$487,,T-Mobile,Black,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-32GB-Black-TMobile/12078414
Samsung,Galaxy S6 edge,64GB,VeryGood,$679,,T-Mobile,Gold,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-edge-64GB-Gold-TMobile/12078469
Samsung,Galaxy S6 edge,32GB,VeryGood,$575,,Verizon,White,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-edge-32GB-White-Verizon/12078454
Samsung,Galaxy S6 edge,128GB,VeryGood,$756,,T-Mobile,Black,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-edge-128GB-Black-TMobile/12078473
Samsung,Galaxy S6,64GB,VeryGood,$536,,AT&T,Black,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-64GB-Black-ATT/12078425
Samsung,Galaxy S6,32GB,VeryGood,$489,,T-Mobile,White,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-32GB-White-TMobile/12078418
Samsung,Galaxy S6,32GB,VeryGood,$563,,AT&T,Gold,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-32GB-Gold-ATT/12078421
Samsung,Galaxy S6 edge,32GB,VeryGood,$575,,Verizon,Black,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-edge-32GB-Black-Verizon/12078450
Samsung,Galaxy S6 edge,64GB,VeryGood,$665,,T-Mobile,White,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-edge-64GB-White-TMobile/12078465
Samsung,Galaxy S6 edge,64GB,VeryGood,$711,,Sprint,Black,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-edge-64GB-Black-Sprint/12078463
Samsung,Galaxy S6 edge,32GB,VeryGood,$641,,T-Mobile,Gold,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-edge-32GB-Gold-TMobile/12078457
Samsung,Galaxy S6 edge,64GB,VeryGood,$618,,Verizon,Black,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-edge-64GB-Black-Verizon/12078462
Samsung,Galaxy S6,64GB,Good,$492,,T-Mobile,Gold,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-64GB-Gold-TMobile/12078434
Samsung,Galaxy S6,32GB,VeryGood,$566,,AT&T,White,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-32GB-White-ATT/12078417
Samsung,Galaxy S6,128GB,VeryGood,$711,,Sprint,White,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-128GB-White-Sprint/12078444
Samsung,Galaxy S6,64GB,VeryGood,$632,,Sprint,Black,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-64GB-Black-Sprint/12078428
Samsung,Galaxy S6 edge,32GB,Refurbished,$569,,T-Mobile,Black,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-edge-32GB-Black-TMobile/12078449
Samsung,Galaxy S6 edge,32GB,VeryGood,$489,,T-Mobile,Black,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-edge-32GB-Black-TMobile/12078449
Samsung,Galaxy S6 edge,32GB,VeryGood,$632,,Sprint,Gold,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-edge-32GB-Gold-Sprint/12078459
Samsung,Galaxy S6 edge,32GB,VeryGood,$539,,AT&T,Black,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-edge-32GB-Black-ATT/12078448
Samsung,Galaxy S6,128GB,VeryGood,$707,,T-Mobile,Gold,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-128GB-Gold-TMobile/12078446
Samsung,Galaxy S6,64GB,VeryGood,$625,,T-Mobile,White,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-64GB-White-TMobile/12078430
Samsung,Galaxy S6,64GB,VeryGood,$645,,AT&T,Gold,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-64GB-Gold-ATT/12078433
Samsung,Galaxy S6,32GB,VeryGood,$522,,Sprint,Gold,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-32GB-Gold-Sprint/12078424
Samsung,Galaxy S6,32GB,VeryGood,$420,,Sprint,Black,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-32GB-Black-Sprint/12078416
Samsung,Galaxy S6,32GB,VeryGood,$400,,AT&T,Black,glyde,https://glyde.com/buy/used-Samsung-Galaxy-S6-32GB-Black-ATT/12078413
Apple,iPhone 6,128GB,Refurbished,$719,,T-Mobile,Space Gray,glyde,https://glyde.com/buy/used-Apple-iPhone-6-128GB-Space-Gray-TMobile/12077830
Apple,iPhone 6,128GB,VeryGood,$700,,T-Mobile,Space Gray,glyde,https://glyde.com/buy/used-Apple-iPhone-6-128GB-Space-Gray-TMobile/12077830
Apple,iPhone 6 Plus,128GB,VeryGood,$730,,AT&T,Silver,glyde,https://glyde.com/buy/used-Apple-iPhone-6-Plus-128GB-Silver-ATT/12077869
Apple,iPhone 6,128GB,VeryGood,$676,,T-Mobile,Gold,glyde,https://glyde.com/buy/used-Apple-iPhone-6-128GB-Gold-TMobile/12077854
Apple,iPhone 6 Plus,128GB,VeryGood,$749,,Verizon,Space Gray,glyde,https://glyde.com/buy/used-Apple-iPhone-6-Plus-128GB-Space-Gray-Verizon/12077860
Apple,iPhone 6 Plus,16GB,VeryGood,$586,,Sprint,Gold,glyde,https://glyde.com/buy/used-Apple-iPhone-6-Plus-16GB-Gold-Sprint/12077885
Apple,iPhone 6 Plus,16GB,VeryGood,$595,,Verizon,Gold,glyde,https://glyde.com/buy/used-Apple-iPhone-6-Plus-16GB-Gold-Verizon/12077882
Apple,iPhone 6 Plus,128GB,VeryGood,$709,,AT&T,Gold,glyde,https://glyde.com/buy/used-Apple-iPhone-6-Plus-128GB-Gold-ATT/12077881
Apple,iPhone 6 Plus,128GB,VeryGood,$749,,T-Mobile,Silver,glyde,https://glyde.com/buy/used-Apple-iPhone-6-Plus-128GB-Silver-TMobile/12077878
Apple,iPhone 6 Plus,16GB,VeryGood,$548,,Verizon,Silver,glyde,https://glyde.com/buy/used-Apple-iPhone-6-Plus-16GB-Silver-Verizon/12077870
Apple,iPhone 6,128GB,VeryGood,$637,,AT&T,Gold,glyde,https://glyde.com/buy/used-Apple-iPhone-6-128GB-Gold-ATT/12077845
Apple,iPhone 6 Plus,64GB,VeryGood,$651,,AT&T,Gold,glyde,https://glyde.com/buy/used-Apple-iPhone-6-Plus-64GB-Gold-ATT/12077880
Apple,iPhone 6,16GB,Refurbished,$479,,Sprint,Silver,glyde,https://glyde.com/buy/used-Apple-iPhone-6-16GB-Silver-Sprint/12077837
Apple,iPhone 6 Plus,64GB,Good,$603,,T-Mobile,Silver,glyde,https://glyde.com/buy/used-Apple-iPhone-6-Plus-64GB-Silver-TMobile/12077877
Apple,iPhone 6,128GB,VeryGood,$618,,Verizon,Gold,glyde,https://glyde.com/buy/used-Apple-iPhone-6-128GB-Gold-Verizon/12077848
Apple,iPhone 6,16GB,VeryGood,$479,,Sprint,Gold,glyde,https://glyde.com/buy/used-Apple-iPhone-6-16GB-Gold-Sprint/12077849
Apple,iPhone 6 Plus,64GB,VeryGood,$669,,Verizon,Space Gray,glyde,https://glyde.com/buy/used-Apple-iPhone-6-Plus-64GB-Space-Gray-Verizon/12077859
Apple,iPhone 6,16GB,VeryGood,$489,,T-Mobile,Space Gray,glyde,https://glyde.com/buy/used-Apple-iPhone-6-16GB-Space-Gray-TMobile/12077828
