"brandname","color","models","specs","price","price-a","price-b","price-c","manufacturer","screen-size","form/type","tags","pic1","pic2","pic3","pic4"
"Blackberry Q10","Black","Q10",,"39,500","32,500","27,500",,"Blackberry","3.1 inches","phone","Accelerometer, gyro, proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Blackberry Q10","White ","Q10",,"39,500","32,500","27,500",,"Blackberry","3.1 inches","phone","Accelerometer, gyro, proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Blackberry Z10 ","Black","Z10",,"19,500","25,500","20,000",,"Blackberry","4.2 inches","phone","Accelerometer, gyro, proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Blackberry Z10 ","White ","Z10",,"29,500","26,000","20,000",,"Blackberry","4.2 inches","phone","Accelerometer, gyro, proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Blackberry Porsche Design","Black","Porsche 9981",,"130,000","110,000","90,000",,"Blackberry","2.8 inches","phone","Accelerometer, proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Blackberry Porsche Design ","Silver","Porsche 9981",,,"90,000","55,000",,"Blackberry","2.8 inches","phone","Accelerometer, proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Blackberry  Bold 5","Black",9900,,"19,500","12,000","8,000",,"Blackberry","2.8 inches","phone","Proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Blackberry Bold 5","White ",9900,,"22,500","12,000","8,000",,"Blackberry","2.8 inches","phone","Proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Blackberry  Torch 2","Silver",9810,,,"11,000","5,000",,"Blackberry","3.2 inches","phone","Proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Blackberry  Torch 2","White ",9810,,,"13,000","5,000",,"Blackberry","3.2 inches","phone","Proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Blackberry  Torch 1","Black",9800,,,"10,000","4,000",,"Blackberry","3.2 inches","phone","proximity","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Blackberry  Bold 6","Black",9790,,"17,500","9,000","5,000",,"Blackberry","2.45 inches","phone","Geo-tagging, face detection","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Blackberry  Bold 6","White ",9790,,"27,000","10,000","5,000",,"Blackberry","2.45 inches","phone","Geo-tagging, face detection","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Blackberry  Curve 4","Black",9360,,"18,500","9,000","4,000",,"Blackberry","2.44 inches","phone","Geo-tagging, face detection","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Blackberry Curve 4","White ",9360,,"18,500","10,000","4,000",,"Blackberry","2.44 inches","phone","Geo-tagging, face detection","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Blackberry Curve 7","Black",9320,,,"9,000","4,000",,"Blackberry","2.44 inches","phone","Geo-tagging, face detection","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Blackberry Curve 7","White ",9320,,,"10,000","4,000",,"Blackberry","2.44 inches","phone","Geo-tagging, face detection","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Blackberry Curve 6","White ",9220,,,"6,000","3,000",,"Blackberry","2.44 inches","phone","Accelerometer, proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Blackberry Curve 6","White ",9220,,,"6,500","3,000",,"Blackberry","2.44 inches","phone","Accelerometer, proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Blackberry Q5 Black","White ","Q5",,,"20,000","15,000",,"Blackberry","3.1 inches","phone","Accelerometer, gyro, proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Blackberry Q5 White","White ","Q5",,,"20,500","15,000",,"Blackberry","3.1 inches","phone","Accelerometer, gyro, proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Blackberry Curve 8 or Bold 7","White ",9720,,,"16,000","10,000",,"Blackberry","2.8 inches","phone","Accelerometer, proximity","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Blackberry Curve 8 or Bold 7","White ",9720,,,"16,500","10,000",,"Blackberry","2.8 inches","phone","Accelerometer, proximity","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Blackberry Q10 Gold","White ","Q10",,,"40,000","30,000",,"Blackberry","3.1 inches","phone","Accelerometer, gyro, proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Blackberry Z30 Black","White ","Z30",,"50,500","40,000","30,000",,"Blackberry","5.0 inches","phone","Accelerometer, gyro, proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Blackberry Z30 White","White ","Z30",,,"42,000","32,000",,"Blackberry","5.0 inches","phone","Accelerometer, gyro, proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Blackberry Z3","White ","Z3",,"30,500","25,000","20,000",,"Blackberry","5.0 inches","phone","Accelerometer, proximity","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Blackberry Porsche Design ","White ",9982,,"210,000","150,000","100,000",,"Blackberry","4.2 inches","phone","Accelerometer, gyro, proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Blackberry Bold 4 9780","White ",9780,,"12,900",,,,"Blackberry","2.44 inches","phone","gps ,5MP  camera","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Blackberry Pearl 2","White ",9105,,"10,000",,,,"Blackberry","2.25 inches","phone","gps ,3.5MP  camera","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
