PRODUCT_COLOR_ID,COUNTRY_ORIGIN,MATERIAL,SHORT_NAME,LONG_DESCRIPTION,COLOR_GROUP,COLOR_DESCRIPTION,BULLET_1,BULLET_2,BULLET_3,BULLET_4,BULLET_5,BULLET_6,BULLET_7,BULLET_8,BULLET_9
322342801,IT,Leather / Rubber,brown leather oxfords,Timeless Gucci style paired with fine Italian craftsmanship make these oxfords an obvious choice.,Brown,Brown,Smooth leather upper,Rounded toe,Lace-up vamp,Leather interior,Leather sole with rubber insert,1'' heel,,,
322343001,IT,Leather,black leather horsebit loafers,Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.,Black,Black,Smooth leather upper,Rounded toe,Silvertone horsebit at vamp,Leather interior,Leather sole,?'' heel,All measurements are approximate,,
322344701,IT,Leather / Rubber,black leather penny loafers,"Whether your desired look leans toward classic or statement making, you'll have no problems achieving both with prestigious footwear from Italian atelier, Prada.",Black,Black,Smooth leather upper,Round toe with welt seam,Penny loafer strap across vamp,Leather lined,Rubber sole,1?'' two-tone stacked heel,,All measurements are approximate,
322344801,VN,Leather / Rubber,Prada Sport navy suede lace-up cap toe sneakers,"For shoes you can really sink your heels into, choose Prada Sport. With their contemporary designs and quality construction, you'll be glad you did.",Navy,Blue,Soft suede upper,Round rubber cap toe,Lace-up vamp with rubber logo stripe at tongue,Pull tab at back ankle,Woven mid-sole,Leather lined,Rubber sole,Ships separately. Please allow an additional 5-7 business days for delivery,
322344901,VN,Leather / Rubber,Prada Sport stone suede lace-up cap toe sneakers,"For shoes you can really sink your heels into, choose Prada Sport. With their contemporary designs and quality construction, you'll be glad you did.",Stone,Grey,Soft suede upper,Round rubber cap toe,Lace-up vamp with rubber logo stripe at tongue,Pull tab at back ankle,Woven mid-sole,Leather lined,Rubber sole,,
322347401,CN,Patent Leather / Rubber,Prada Sport white patent leather peep toe wedges,Vamp it up in these Prada Sport wedges with just the right amount of pin up cha cha cha charisma.,White / Blue,White,"Glossy, smooth patent leather upper",Almond peep toe,Leather lining,4'' striped rubber wedge heel,?'' front platform,Rubber sole,,All measurements are approximate,Ships separately. Please allow an additional 5-7 business days for delivery
322345001,VN,Suede,Prada Sport grey perforated suede sneakers,Trust Prada Sport for when you want to be comfortable but still look your best.,Grey / Light Grey / White,Grey,"Light, soft suede upper",Round toe,Perforated vamp with stripe sides,Lace up style with logo tag at tongue,Leather lined,Rubber sole,Ships separately. Please allow an additional 5-7 business days for delivery,,
322345201,VN,Leather / Rubber,Prada Sport royal blue leather wing-tip sneakers,"For sophisticated footwear with a dash of bad boy style, choose Prada Sport. With their contemporary designs and quality construction, you'll be glad you did.",Royal Blue / Anthracite / Ivory,Blue,Smooth leather upper with wing-tip details,Rounded toe,Lace-up vamp,Leather interior lining,Rubber treaded sole,,,,
322345301,IT,Leather / Fabric / Rubber,Prada Sport navy leather lace-up stripe sole sneakers,Look sharp from head-to-toe with sleek and comfortable footwear from Prada Sport.,Navy,Blue,Grained leather upper,Softly squared toe,Lace up vamp,Rubberized logo strip on tongue,Molded rubber sole with striped sides,?'' heel,All measurements are approximate,,
322345401,VN,Leather / Fabric / Rubber,Prada Sport granite leather lace-up and papaya stripe sole sneakers,Look sharp from head-to-toe with sleek and comfortable footwear from Prada Sport.,Granite / Papaya / White,Grey,Grained leather upper,Softly squared toe,Lace up vamp,Rubberized logo strip on tongue,Molded rubber sole with striped sides,?'' heel,All measurements are approximate,,
322345501,VN,Leather / Fabric / Rubber,Prada Sport black leather mesh panel lace up sneakers,Look sharp from head-to-toe with sleek footwear from Prada Sport.,Black,Black,Smooth leather upper with contrast mesh paneling throughout,Rounded toe,Lace-up vamp,Rubberized logo stripe at tongue,Fabric and leather interior lining,Rubber sole with striped side,1'' heel,All measurements are approximate,
322342901,IT,Leather,midnight leather lace up oxfords,Timeless Gucci style paired with fine Italian craftsmanship make these oxfords an obvious choice.,Midnight,Blue,Smooth leather upper,Rounded toe,Lace up vamp,Leather lining,Leather sole,1'' heel,,All measurements are approximate,
322343101,IT,Leather / Rubber,beige suede lace-up oxfords,Timeless Gucci style paired with fine Italian craftsmanship make these oxfords an obvious choice.,Beige / Blue,Khaki,Smooth suede upper,Rounded toe,Lace-up vamp,Leather interior lining,Rubber sole,1'' heel,,All measurements are approximate,
322343201,IT,Canvas / Leather / Jute / Rubber,navy canvas leather trim and espadrille sneakers,Gucci knows just the right mix to make the perfect sneakers for lazy brunch and park filled weekends.,Navy / Red / Tan,Blue,Canvas upper,Round toe,Signature web stripe at side,Lace up vamp with leather trim and logo detail at tongue,Leather lined,1'' jute mid sole,Rubber sole,,All measurements are approximate
322343501,IT,Leather,midnight blue leather bamboo horsebit loafers,"Easy-to-wear yet debonair, this pair of Gucci loafers is sure to be your go-to shoe.",Midnight Blue,Blue,"Smooth, supple leather upper",Rounded seamed toe,Signature web stripe with bamboo horsebit across vamp,Tongue features pinked trim,Rubber pebbling at back heel,Leather lining,Leather sole with rubber pebbling,,
322344101,IT,Leather / Rubber,black leather web striped sneakers,"Mastering the iconic collections we love while keeping a fresh spin on newer styles, Gucci's touch is, simply, flawless.",Black,Black,Smooth leather upper with grained leather trim,Round toe,Lace-up vamp with rubber GG at tongue,Web stripes at sides,Patent leather patch at back ankle,Leather lined,Rubber sole,,
322345601,IT,Cork / Leather / Fabric,navy and gold patent leather and cork wedges,"Whether Saint-Tropez or the local beach, set sail for sunny destinations with these wedges from Gucci.",Navy / Gold / White,Blue,Leather upper,Open round toe,Web stripe strap across toes,Buckle adjustable ankle strap,Leather lined,5'' striped cork wedge,1?'' front platform,Rubber sole,All measurements are approximate
322346201,CN,Leather / Rubber,Prada Sport white patent leather 'Vernice' peep-toe platform sandals,"Prada Sport transforms function into fashion with their wide range of stylish, wearable footwear made for your everyday adventures.",White / Black / Orange,White,Glossy patent leather upper,Almond peep toe,Adjustable ankle strap with silvertone buckle closure,Leather interior lining,Rubber sole,4?'' rubber heel with stripe details,?'' front platform,All measurements are approximate,
322344601,IT,Leather / Rubber,burnt brown glazed leather logo plaque loafers,You can bet your bottom dollar ain't nothin' better than Prada!,Burnt,Brown,"Smooth, glazed leather upper",Tapered round toe,Logo engrave plaque at vamp,Lightly padded leather lining,Logo plaque built in to ?'' square heel,Rubber sole,,,
322346501,VN,Leather,Prada Sport nude patent leather wedge sandals,Prada Sport makes it possible to look perfectly polished with their elegant collection of shoes that will keep your feet looking pretty.,Nude,Khaki,Glossy patent leather upper,Tapered open toe,Buckle strap at ankle,Leather lining,Rubber sole,2?'' wedge heel,1'' front platform,All measurements are approximate,
322346801,ID,Leather / Rubber,Prada Sport black patent leather wedge sandals,Prada Sport makes it possible to look perfectly polished with their elegant collection of shoes that will keep your feet looking pretty.,Black,Black,Glossy patent leather upper,Tapered open toe,Buckle strap at ankle,Leather lining,Rubber sole,4'' wedge heel,?'' front platform,All measurements are approximate,Ships separately. Please allow an additional 5-7 business days for delivery
322346001,IT,Leather,nude patent leather peep toe platform pumps,"It's nice to know that when you are wearing Prada shoes, you have the highest of style and quality at your feet.",Nude,Pink,Glossy patent leather upper,Tapered peep toe,Leather lining,Leather sole,4?'' covered heel,?'' front platform,,All measurements are approximate,Ships separately. Please allow an additional 5-7 business days for delivery
322345801,IT,Leather / Rubber / Cork,black leather 'Eilin' open toe mary jane wedges,Always be dressed to the nines with the supreme elegance and perpetual styles of Gucci's extravagant shoe collections.,Black / Mistic White,Black,Glossy patent leather and supple grained leather upper,Rounded open toe,Ankle strap with adjustable buckle closure,Leather interior lining,Rubber sole,4?'' cork heel,1?'' front platform,All measurements are approximate,
322346101,IT,Leather,beige patent leather open toe sandals,"Whether your desired look leans toward classic or statement making, you'll have no problems achieving both with prestigious footwear from Italian atelier, Prada.",Beige / Tan / White,Khaki,Patent leather upper,Rounded open toe,T-strap vamp with cutouts,Leather lined interior,Lightly cushioned insole,Elasticized band at rear heel,Leather sole,3?'' painted metal heel,All measurements are approximate
322343601,IT,Leather / Rubber,black pebbled leather diamante heel oxfords,"Mastering the iconic collections we love while keeping a fresh spin on newer styles, Gucci's touch is, simply, flawless.",Black,Black,Pebbled leather upper,Rounded cap toe with pinked edging,Lace-up vamp with pinked edging,Leather interior lining,Rubber sole,1'' embossed diamante patterned heel,,All measurements are approximate,Ships separately. Please allow an additional 5-7 business days for delivery
322344201,IT,Leather,cocoa suede horsebit loafers,We don't care a bit for those who deny Gucci makes the most sturdy and polished men's footwear around.,Cocoa (Dark Brown),Brown,Soft suede upper,Rounded toe,Silvertone horsebit across vamp,Welt seam at back heel,Leather lined,Leather sole,?'' square heel,All measurements are approximate,Ships separately. Please allow an additional 5-7 business days for delivery
322344401,IT,Leather,beige suede horsebit loafers,We don't care a bit for those who deny Gucci makes the most sturdy and polished men's footwear around.,Beige,Khaki,Soft suede upper,Rounded toe,Silvertone horsebit across vamp,Welt seam at back heel,Leather lined,Leather sole,?'' square heel,All measurements are approximate,Ships separately. Please allow an additional 5-7 business days for delivery
322347101,CN,Leather / Jute / Rubber,Prada Sport natural snake leather wedge sandals,Prada Sport makes it possible to look perfectly polished with their elegant collection of shoes that will keep your feet looking pretty.,Natural / Brown,Grey,Snake printed leather upper,Tapered open toe,Adjustable buckle strap at ankle,Leather lining,Jute mid-sole,Rubber sole,4'' wedge heel,1'' jute front platform,All measurements are approximate
322343301,IT,Canvas / Leather / Jute / Rubber,white canvas leather trim and espadrille sneakers,Gucci knows just the right mix to make the perfect sneakers for lazy brunch and park filled weekends.,White / Red / Green,White,Canvas upper,Round toe,Signature web stripe at side,Lace up vamp with leather trim and logo detail at tongue,Leather lined,1'' jute mid sole,Rubber sole,,All measurements are approximate
322344501,IT,Leather,milk chocolate brushed leather bow loafers,"It's nice to know that when you are wearing Prada shoes, you have the highest of style and quality at your feet.",Milk Chocolate,Brown,Soft brushed leather upper,Whipstitch softly squared toe,Bow detail at vamp,Welt seam at heel,Slip on,Leather lining,Rubber sole,Ships separately. Please allow an additional 5-7 business days for delivery,
322343401,IT,Leather,cocoa leather bamboo horsebit loafers,"Easy-to-wear yet debonair, this pair of Gucci loafers is sure to be your go-to shoe.",Cocoa,Brown,"Smooth, supple leather upper",Rounded seamed toe,Signature web stripe with bamboo horsebit across vamp,Tongue features pinked trim,Rubber pebbling at back heel,Leather lining,Leather sole with rubber pebbling,,
322345701,IT,Leather,black leather peep toe platform heels,Strut down the street or into the restaurant with a real swagger thanks to sexy heels from Gucci.,Black,Black,"Soft, supple leather upper",Round peep toe,Leather lining,4'' heel,1'' front platform,Leather sole,All measurements are approximate,Ships separately. Please allow an additional 5-7 business days for delivery,
322343801,IT,Suede,chocolate suede wingtip oxfords,"For unbeatable elegance, you simply can't go wrong with a handsome pair of oxfords from none other than Gucci.",Chocolate,Brown,Soft suede upper with tooled trim throughout,Rounded wingtip toe,Lace-up vamp,Leather lined,&#8541;'' square heel with engraved logo,Leather sole,All measurements are approximate,,
322344301,IT,Leather,navy suede horsebit loafers,We don't care a bit for those who deny Gucci makes the most sturdy and polished men's footwear around.,Navy,Blue,Soft suede upper,Rounded toe,Silvertone horsebit across vamp,Welt seam at back heel,Leather lined,Leather sole,?'' square heel,All measurements are approximate,Ships separately. Please allow an additional 5-7 business days for delivery
322345901,ES,Leather / Jute / Rubber,black guccissima patent leather espadrille wedges,Gucci puts their mark on the classic espadrille with their signature guccissima embossing and plenty of Italian style!,Black,Black,Glossy guccissima embossed patent leather upper,Round open toe,Crisscross straps over toe,Adjustable goldtone buckle ankle strap,Leather lined,GG rubber sole,4&#189'' jute wrapped wedge heel,1'' front platform,All measurements are approximate
322343901,IT,Canvas / Leather / Rubber,black canvas web stripe high-top sneakers,"Who says luxury can't be casual and fun? These Gucci sneakers are both indulgent and innovative, exemplifying excellence while offering total comfort.",Black,Black,Canvas upper with signature web stripe detail,Rounded leather cap toe,Lace-up vamp,Leather stripe at back heel,Canvas interior lining with lightly cushioned leather insole,Rubber sole with embossed logo detail,,,
322344001,IT,Canvas / Leather / Rubber,white canvas web stripe high-top sneakers,"Who says luxury can't be casual and fun? These Gucci sneakers are both indulgent and innovative, exemplifying excellence while offering total comfort.",White / Blue / Red,White,Canvas upper with signature web stripe detail,Rounded leather toe,Lace-up vamp with contrast trim,Leather stripe at back heel,Canvas interior lining and leather insole,Rubber sole with embossed logo detail,,,
322345101,VN,Nylon / Leather / Rubber,Prada Sport black white and ebony nylon lace up sneakers,Look sharp from head-to-toe with sleek and comfortable footwear from Prada Sport.,Black / White / Ebony,Black,Nylon upper with ebony suede and white leather accents,Round toe,Lace-up vamp with rubber logo stripe at tongue,Logo lettering at side,Leather lining,Molded rubber sole,Ships separately. Please allow an additional 5-7 business days for delivery,,
322343701,IT,Leather / Rubber,cocoa pebbled leather diamante patterned heel oxfords,"Mastering the iconic collections we love while keeping a fresh spin on newer styles, Gucci's touch is, simply, flawless.",Cocoa,Brown,Pebbled leather upper,Rounded cap toe with pinked edging,Lace-up vamp with pinked edging,Leather interior lining,Rubber sole,1'' embossed diamante patterned heel,All measurements are approximate,,
